Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,522816eF8fdBE6d,Mckinney PLC,http://soto.com/,Sri Lanka,Synergized global system engine,1988,Dairy,3930
2,70C7FBD7e6Aa3Ea,Cunningham LLC,http://harding-duffy.com/,Namibia,Team-oriented fault-tolerant adapter,2018,Library,7871
3,428B397eA2d7290,Ruiz-Walls,http://www.atkins.biz/,Iran,Re-contextualized bifurcated moderator,2003,Hospital / Health Care,3095
4,9D234Ae8Cc51C1c,"Parrish, Osborne and Clarke",http://salazar.info/,British Indian Ocean Territory (Chagos Archipelago),Fully-configurable next generation concept,1989,Supermarkets,5422
5,6CDCcdE3D0b7b44,"Diaz, Robles and Haley",https://www.brooks-scott.net/,Botswana,Inverse intangible methodology,2013,Nanotechnology,3135
6,cdAD9BBF227ADAE,Keith PLC,http://www.mathews.com/,Ecuador,Cross-group coherent strategy,1978,Online Publishing,7233
7,0fe6F8Dd1Cf5e4d,Humphrey-Myers,https://faulkner-mclaughlin.info/,Sierra Leone,Adaptive directional process improvement,2005,Publishing Industry,6022
8,ECC0FBd0dc4aEfc,Castaneda-Mcmahon,http://www.anthony.com/,Zimbabwe,Front-line value-added emulation,2015,Defense / Space,4580
9,e0E6cfAE68d08c9,Santos-Bowman,https://www.oneill-guerrero.org/,Ecuador,Multi-layered optimizing system engine,1979,Computer Hardware,3245
10,A7DdBb239A86689,Valdez-Estes,http://melendez-malone.com/,Timor-Leste,Diverse next generation open architecture,1985,Plastics,1785
11,6a74D1bF2BC1d65,Young-Zavala,http://www.ortiz.com/,Ukraine,Sharable multimedia system engine,1972,Music,2985
12,Cc5293Dbc2A92bE,Shaffer Inc,https://www.sandoval.com/,United Kingdom,Sharable coherent contingency,1997,Automotive,839
13,849CEAb2f65c439,Gaines-Vang,http://www.levy.com/,Thailand,Compatible web-enabled array,2021,Online Publishing,3135
14,DcFCcD6B1a1A736,Larsen-Garrison,https://walsh.com/,Turkey,Polarized composite moderator,2014,Building Materials,7261
15,a8dc16ba1b00F3c,Taylor LLC,https://www.allen.com/,Kiribati,Re-contextualized holistic hub,1971,Information Services,2427
16,2B6c7b5bEDdeD8d,Lindsey Ltd,https://logan-mckee.com/,Canada,Profit-focused optimal time-frame,1981,Chemicals,6477
17,fD4BD3662B6F92D,Rich-Kelly,https://www.fowler-glenn.org/,Colombia,Triple-buffered exuding forecast,1994,Investment Banking / Venture,4263
18,3F2A9d9c44af88f,Solis PLC,https://gomez.com/,Suriname,Stand-alone zero tolerance algorithm,2004,E - Learning,2546
19,4eBE2067f1F8d7E,David-Summers,http://levine.biz/,Burundi,Monitored mobile monitoring,2019,Machinery,219
20,e8F94361bbDcf9b,Orr-Stanley,http://www.rosales.com/,Kazakhstan,Triple-buffered systematic collaboration,1979,Photography,581
21,aeCF5B129e7De7d,Watkins-Gibson,https://keller.com/,Malta,Pre-emptive demand-driven Graphical User Interface,2004,Online Publishing,6796
22,20c0DFDE6D7553d,Yoder LLC,http://www.villarreal.com/,Andorra,Cross-group optimal encoding,2015,Mining / Metals,7859
23,EDb2DAef8a234B0,Ramsey Ltd,https://www.wheeler-pratt.info/,Yemen,Universal web-enabled help-desk,1998,Investment Management / Hedge Fund / Private Equity,3670
24,220c1D09F99b07e,Hampton Inc,https://www.guerra.com/,Central African Republic,Upgradable multi-state challenge,2019,Civil Engineering,236
25,d4B566cF72D2A03,"Schaefer, Bates and Pugh",http://marquez.org/,Swaziland,Optimized well-modulated complexity,1987,Design,8044
26,1Cec2bE2f8a5c9f,Sosa-Lynn,https://watson-willis.com/,Brazil,Monitored upward-trending hierarchy,1994,Architecture / Planning,4905
27,92cAd11Ec4B67D5,"Nichols, Rodgers and Hall",https://olsen.com/,Bangladesh,Ameliorated systematic hardware,2014,Commercial Real Estate,1996
28,1ADB796E374b1F8,"Landry, Pena and Nash",http://mathews.com/,Ghana,Optional needs-based model,2014,Textiles,4214
29,aaFDd69B4C71f31,George Ltd,https://pittman-walton.com/,Isle of Man,Realigned analyzing array,1986,Commercial Real Estate,9958
30,65bB9Baa2a168Ad,Greer-Watts,https://www.griffith-prince.com/,Timor-Leste,Reverse-engineered interactive framework,2017,Wholesale,1884
31,da750fccbe1779f,"Archer, George and Sanders",http://www.ortega.com/,Russian Federation,Innovative multimedia Graphical User Interface,1994,Environmental Services,6377
32,907DE64cA7c2D04,Zhang-Escobar,https://hodges.com/,Iraq,Innovative methodical concept,1979,Internet,358
33,BB4fecbcED2e40D,Kelley-Lucero,https://www.pierce.org/,Kenya,Versatile full-range process improvement,2001,Mental Health Care,5154
34,F8cAa7DA8eaaFe0,"Gallegos, Pugh and Randall",http://www.williamson-mahoney.com/,Belarus,Virtual client-driven architecture,1970,Photography,6153
35,144FBe6c3BDB10B,"Benjamin, Grant and Vincent",http://www.zavala.com/,Moldova,Adaptive incremental policy,1976,Venture Capital / VC,3528
36,AdC821b25c17eAb,Hatfield PLC,http://www.zuniga.org/,Malta,Distributed mobile open architecture,1985,Translation / Localization,554
37,eabCabc94B345DB,Richards PLC,http://todd.biz/,Albania,Persevering dynamic frame,1988,Public Safety,7554
38,F5E75Fb6cB90ffE,"Brandt, Vasquez and Kennedy",http://riggs.com/,Andorra,Proactive next generation moratorium,2019,Cosmetics,7372
39,0D55efbaf06c4cc,Hebert-Spence,http://navarro-rosario.org/,Paraguay,Expanded zero-defect success,1994,Glass / Ceramics / Concrete,1250
40,a2Ed1dDD45215C9,Zimmerman and Sons,https://perez.net/,Togo,Focused encompassing moderator,1999,Automotive,8480
41,f6Ad85a8d6A08bd,Oconnor PLC,http://www.ball.biz/,Korea,De-engineered responsive instruction set,1973,Performing Arts,8563
42,299e97aFeA5AAb3,"Skinner, Carrillo and Mckay",http://www.schneider-white.com/,Macedonia,Reactive value-added middleware,2005,Gambling / Casinos,1945
43,Bf8BbedDaba38A3,Sheppard Ltd,http://www.bishop.com/,Morocco,Expanded didactic interface,1981,Furniture,4564
44,913dcD3833fa125,"Miller, Bowen and Webster",https://www.middleton.com/,Sudan,Progressive 3rdgeneration success,2015,Fine Art,6378
45,0DfEC3aFBeAda4A,Randall and Sons,http://brady.info/,Lesotho,Decentralized non-volatile emulation,1987,Commercial Real Estate,3133
46,A6Be954495a1Fee,"Boyd, Kaiser and Sampson",https://www.thomas.biz/,Mauritania,Right-sized value-added access,1983,Internet,6087
47,05eE53c2daf90fC,Moses PLC,https://doyle.com/,Uruguay,Customer-focused discrete implementation,2017,Real Estate / Mortgage,1263
48,80Edbd912BA6058,Stone Inc,https://roth.com/,French Guiana,Reduced impactful protocol,1975,Motion Pictures / Film,5380
49,56eA0cacdAaC961,Cooley-Harding,https://carrillo.com/,Indonesia,Expanded upward-trending orchestration,2001,Public Safety,6366
50,fC790CAFC50Aab3,"Nixon, Hawkins and Monroe",https://brooks-wells.org/,Sri Lanka,Down-sized content-based support,1974,Translation / Localization,4156
51,9D923794e3AffCF,Cervantes PLC,https://www.fox.com/,United Kingdom,Profit-focused maximized structure,1974,Package / Freight Delivery,5598
52,cA2CcBbCf1D2239,Watson-Ho,http://wolfe.com/,Macao,Expanded systemic array,2001,Museums / Institutions,2284
53,EeAAFcdd21dDA58,"Grimes, Bauer and Page",http://www.copeland.biz/,Holy See (Vatican City State),Programmable national solution,1999,Machinery,6323
54,2dC312dDFAFF23D,Gomez and Sons,http://www.hanson-daugherty.net/,Uganda,Pre-emptive mission-critical architecture,1978,Photography,6250
55,ec857Ee010B3721,"Kaufman, Coleman and Leonard",http://webster.com/,Portugal,Centralized local toolset,1975,Ranching,8809
56,F87A7133EDf5006,Bartlett-Blankenship,http://www.flores.com/,Cote d'Ivoire,Configurable bandwidth-monitored Graphical User Interface,1997,International Trade / Development,7426
57,742e0CdDEC1CBE3,Guerrero Ltd,http://www.frye.com/,Burundi,Team-oriented needs-based approach,2013,Photography,4880
58,e5aeEbaeaCd70B9,Benjamin and Sons,http://www.villa.com/,Jamaica,Mandatory executive solution,1998,Judiciary,6338
59,cB3FcD6ebBd6F9b,"Figueroa, Cross and Bishop",https://vaughn-johnson.org/,Bolivia,Reactive fresh-thinking success,2003,Real Estate / Mortgage,5762
60,A4c3f2fADD9848B,"Morales, Haas and Hunter",http://velazquez.biz/,Uzbekistan,Universal methodical support,2009,Individual / Family Services,1210
61,D4d88edCeC07f6a,Little Group,https://www.park-hickman.com/,Falkland Islands (Malvinas),Expanded exuding matrix,1973,Telecommunications,3033
62,a3E6FfB5C4CCbcf,"Leach, Villa and Weaver",http://www.wood-woodward.com/,Svalbard & Jan Mayen Islands,Realigned encompassing synergy,1974,Import / Export,9935
63,bF269f627Eee5c9,Hoffman Ltd,https://www.rogers.info/,Honduras,Operative 24hour leverage,1994,Furniture,5896
64,D2942D7Cf9c2dEB,Kirk-Powers,http://www.simmons.com/,Vanuatu,Enterprise-wide homogeneous moratorium,2011,Information Services,8205
65,3E85EdAA117EEf1,"Frank, Haley and Mcdaniel",http://fitzgerald.info/,Hungary,User-friendly stable frame,1985,Recreational Facilities / Services,4353
66,5736Cd70f5da8a7,Duran and Sons,http://www.aguilar.info/,Falkland Islands (Malvinas),Ameliorated fresh-thinking alliance,1986,Human Resources / HR,3432
67,aEcbB1D24eff919,Stewart-Rice,http://www.wyatt.biz/,Western Sahara,Secured modular application,1978,Commercial Real Estate,6309
68,b566B61EFAAbA2D,Phillips-Santiago,https://ford.info/,Somalia,Monitored context-sensitive paradigm,1987,Commercial Real Estate,6900
69,1CbbcbcE39fA9A9,Dunn-Holden,http://www.sanford.com/,Saint Helena,Mandatory modular benchmark,1970,Newspapers / Journalism,3331
70,DcED8F7B7EFFA1A,Travis Inc,http://jackson-mendoza.com/,Portugal,Ergonomic 24/7 Graphic Interface,1985,Computer Games,7777
71,D52bFDB53D965b3,"Mccall, Oneill and Diaz",https://walter-berry.biz/,New Caledonia,Organic holistic support,1975,Restaurants,9949
72,a8FAfec4a520d68,Sawyer-Cisneros,http://larsen-randall.com/,Northern Mariana Islands,Distributed leadingedge protocol,2010,Recreational Facilities / Services,3328
73,3bAcb3b524cDcfB,Wilcox Inc,https://alexander-harmon.org/,Guernsey,Customer-focused cohesive utilization,2002,Law Enforcement,6586
74,eC4cDc7a24B6BcD,Sherman and Sons,https://meadows.biz/,Falkland Islands (Malvinas),Quality-focused disintermediate solution,2010,Religious Institutions,8080
75,11d2962E8c450d6,"Middleton, Kelly and Friedman",http://www.callahan.com/,Eritrea,Monitored value-added Graphic Interface,1971,Dairy,9629
76,64ccBF8FDeDeFba,Green Ltd,http://baker.com/,Turkmenistan,Persistent secondary budgetary management,2008,Individual / Family Services,1371
77,Af5a9AC8Dbc1963,"Hays, Villa and Wall",https://little.com/,Korea,Sharable value-added core,1999,Marketing / Advertising / Sales,2286
78,3D3B39a8f57f2A3,"Calhoun, Espinoza and Whitney",http://www.mcmillan.com/,Mexico,Monitored zero-defect focus group,1993,Utilities,6828
79,84717afdA7D7F02,Weber Ltd,https://www.scott.com/,Portugal,Multi-lateral optimal data-warehouse,1975,Oil / Energy / Solar / Greentech,9629
80,74FAA2BF6f0E0ed,"Mcintyre, Leach and Hernandez",https://www.villegas-schwartz.com/,Saint Pierre and Miquelon,Profit-focused scalable solution,1980,Computer Software / Engineering,9224
81,d5F1EFaa9eC0371,"Mora, Gaines and Guerrero",https://briggs.com/,Pakistan,Cross-platform encompassing moderator,1996,Chemicals,306
82,7d3c96Ae4d63466,"Kane, Lowe and Ashley",https://barrera.org/,Cook Islands,Pre-emptive interactive standardization,2019,Financial Services,4493
83,2Dd5dEf2C7DDDfe,Meyers-Roy,http://holden.com/,Australia,Fundamental zero administration system engine,2002,Fine Art,1436
84,9c8AbD6c6bBBeCE,"Fox, Holmes and Morse",https://www.leonard.com/,Belize,Robust context-sensitive emulation,2003,Ranching,4860
85,fccd554C4cEaba9,Andersen-Colon,http://www.simpson-callahan.net/,Burkina Faso,Polarized coherent focus group,1994,Government Administration,6494
86,b9AcF65Aa0b8FDB,Christian Inc,http://www.kaiser-sosa.com/,Oman,Sharable cohesive superstructure,1983,Fundraising,3382
87,5c8ac4A2cf52f76,Merritt Ltd,http://www.campos.com/,Togo,Devolved static projection,1992,Management Consulting,7382
88,299F8Cf3aCD98b4,Caldwell and Sons,https://www.cain.info/,Costa Rica,Function-based grid-enabled workforce,2009,Philanthropy,9194
89,89d949a6faAcDc2,Aguilar-Simpson,https://farrell.net/,British Indian Ocean Territory (Chagos Archipelago),Customizable transitional instruction set,1994,Performing Arts,5016
90,0FB9ff5b434Dcd4,Thomas Ltd,http://www.stone-smith.biz/,Seychelles,Robust regional focus group,2009,Medical Equipment,3474
91,Fc679bcD4fAe6AB,"Travis, Booker and Stewart",https://bell.info/,Sao Tome and Principe,Compatible empowering strategy,2019,Religious Institutions,1971
92,66df89DcEeE8eE3,"Soto, Armstrong and Mcguire",http://medina.biz/,Romania,Grass-roots 5thgeneration ability,2005,Utilities,3761
93,802e73a1bd21cD9,"Shepherd, Burnett and Duke",https://navarro.com/,Colombia,Vision-oriented directional neural-net,2016,Wireless,303
94,82aE950c0fEEa84,Bailey-Hayden,http://salinas.com/,Armenia,Persevering global application,1987,Computer Networking,2063
95,1b99fbB6628fbaA,Potter-Walter,https://www.mendoza.com/,Uzbekistan,Implemented asynchronous challenge,1970,Machinery,2854
96,ceA7b086fF68dFa,Knox Ltd,https://www.pugh.com/,Saint Pierre and Miquelon,Programmable upward-trending support,2019,Security / Investigations,1659
97,B4E4CaC3C9bFCb4,Conner PLC,https://www.graves.com/,Pitcairn Islands,Centralized mission-critical analyzer,2003,Market Research,5142
98,1Ec7ccC2e08a8Ed,"Fitzpatrick, Jordan and Mcclure",https://wu.biz/,Uganda,Persevering encompassing product,1977,Furniture,3670
99,cFF62CF32feEd66,"Mitchell, Barnes and Terrell",https://www.spencer.net/,Ecuador,Synergistic reciprocal capability,2016,Legal Services,6054
